Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2,Cluster
3138,ROSACEAE,107.0,1887,Eudicot,2.689582109451294,8.001154899597168,1.294456558011916,3.1436580437771227,0.5362311101832847,0.4499513267805775,6
3138,ROSACEAE,107.0,1887,Eudicot,2.689582109451294,8.001154899597168,0.3550661827780459,2.7202930896824,0.3500000000000001,0.6062177826491071,6
3138,ROSACEAE,107.0,1887,Eudicot,2.689582109451294,8.001154899597168,1.2927336916382046,3.1436696746377493,0.1215537243668513,0.6893654271085456,6
3138,ROSACEAE,107.0,1887,Eudicot,2.689582109451294,8.001154899597168,1.298451589626893,3.1698635061566165,-0.1215537243668512,0.6893654271085456,6
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,3.680042125049568,1.2184967821076498,-0.3499999999999998,0.6062177826491072,0
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,3.7097023392132087,1.2396829638464624,-0.5362311101832846,0.4499513267805777,0
16588,PINACEAE,110.0,1887,Pinopsida,1.5960135459899902,11.985187530517578,4.551764459930155,1.418251995614355,-0.6577848345501359,0.2394141003279682,4
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,3.677475847081951,1.1939399009097542,-0.7000000000000001,8.572527594031472e-17,0
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,3.622110081937308,1.20624347918465,-0.6577848345501359,-0.2394141003279681,0
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,4.907141095071211,1.1371824096413548,-0.5362311101832847,-0.4499513267805775,0
1496-2,PINACEAE,85.0,1887,Pinopsida,2.424163341522217,8.854352951049805,5.033875338813004,1.0018051545212074,-0.3500000000000003,-0.606217782649107,0
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,4.679575194823883,1.3021215694416242,-0.1215537243668512,-0.6893654271085456,0
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,4.966494683140809,1.0063802111985751,0.121553724366851,-0.6893654271085458,0
3138,ROSACEAE,107.0,1887,Eudicot,2.689582109451294,8.001154899597168,1.2915971284608077,3.148583151933508,0.35,-0.6062177826491071,6
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,3.5382158600766616,1.1732335860970124,0.5362311101832846,-0.4499513267805777,0
16587,PINACEAE,101.0,1887,Pinopsida,2.284048795700073,9.191344261169434,3.625029583572541,1.2065342507721653,0.6577848345501358,-0.2394141003279686,0
17910,ULMACEAE,92.0,1888,Eudicot,1.4335849285125732,8.691179275512695,2.6453529694044846,2.769952001929596,0.7500000000000001,0.0,2
16509,PINACEAE,98.0,1890,Pinopsida,2.31290340423584,8.838849067687988,4.239746388652748,0.8680926137130882,0.8000000000000002,0.0,0
3560,TAXACEAE,48.0,1890,Pinopsida,2.527324676513672,9.146875381469728,3.406049661283987,1.0497303176548485,-0.8000000000000002,9.797174393178827e-17,0
17402-1,TAXACEAE,98.0,1891,Pinopsida,4.055446147918701,8.500370979309082,2.9611877784627723,1.0510003329732172,0.8500000000000002,0.0,18
14991,HAMAMELIDACEAE,120.0,1891,Eudicot,2.383911609649658,9.280424118041992,5.179137725044484,-0.6102622500502548,-0.4249999999999999,0.7361215932167732,0
16595,PLATANACEAE,120.0,1891,Eudicot,0.8978710174560547,8.686992645263672,3.3468589885987967,2.8483646613854035,-0.4250000000000005,-0.7361215932167728,8
14939,PINACEAE,46.0,1892,Pinopsida,2.457959651947021,9.02254867553711,4.9811388071491365,0.7593676712790511,0.9000000000000002,0.0,0
17404,TAXACEAE,56.0,1892,Pinopsida,2.305959224700928,9.04988956451416,3.0858834171515355,0.998118170597536,0.873847635683447,0.215384097858802,0
12393,PINACEAE,46.0,1892,Pinopsida,2.280966758728028,9.179888725280762,4.931363106695471,1.0697440332619408,0.7969104230878892,0.4182508548393918,0
16536,PINACEAE,58.0,1892,Pinopsida,2.281699657440185,9.191421508789062,4.904977059549083,1.223660510572245,0.6736596733539912,0.5968103924167159,0
1097,PINACEAE,49.0,1892,Pinopsida,2.369940996170044,9.110236167907717,4.99285718206329,0.7342089866579045,0.5112582720580404,0.740685479304291,0
7532,CANNABACEAE,56.0,1892,Eudicot,2.3676974773406982,7.544403553009033,2.2898422534922247,3.115604399550648,0.3191443983382823,0.8415146184168735,9
12393,PINACEAE,46.0,1892,Pinopsida,2.280966758728028,9.179888725280762,4.6700271029494616,1.2692035977029263,0.1084830122297909,0.8934379866882488,0
17404,TAXACEAE,56.0,1892,Pinopsida,2.305959224700928,9.04988956451416,3.334443777911929,1.04879609663476,-0.1084830122297906,0.8934379866882488,0
17404,TAXACEAE,56.0,1892,Pinopsida,2.305959224700928,9.04988956451416,3.227896626348411,1.306384843900105,-0.319144398338282,0.8415146184168737,0
4406,ROSACEAE,56.0,1892,Eudicot,3.888674020767212,8.811590194702148,1.945945627376432,4.538836846440063,-0.5112582720580402,0.7406854793042911,18
17404,TAXACEAE,56.0,1892,Pinopsida,2.305959224700928,9.04988956451416,3.4195874984279726,1.0270084866574507,-0.6736596733539909,0.5968103924167161,0
12393,PINACEAE,46.0,1892,Pinopsida,2.280966758728028,9.179888725280762,4.775716425641804,1.2093571740579137,-0.7969104230878891,0.4182508548393919,0
7532,CANNABACEAE,56.0,1892,Eudicot,2.3676974773406982,7.544403553009033,2.3499013277244103,3.1327655519430664,-0.8738476356834469,0.2153840978588023,9
17404,TAXACEAE,56.0,1892,Pinopsida,2.305959224700928,9.04988956451416,3.3950343696456,0.9454896361039572,-0.9000000000000002,1.1021821192326182e-16,0
12453,ARALIACEAE,103.0,1892,Eudicot,4.094569206237793,8.688446998596191,4.893660927080418,-0.7587932620881475,-0.8738476356834471,-0.2153840978588017,18
